서울식물원,"식물원,수목원",서울 강서구 마곡동로 161 서울식물원,신기한 식물이 많아요,산책로가 잘 되어있어요,볼거리가 많아요,사진이 잘 나와요,뷰가 좋아요
모에뜨,베이커리,서울 강서구 등촌로53길 10 천우네오젠아파트 101호,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
루트205,베이커리,"서울 강서구 남부순환로 205 1, 2층",빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요
스타벅스 마곡사이언스타워R점,카페,서울 강서구 마곡동로 62 (마곡동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
르뺑블랑,베이커리,서울 강서구 강서로47가길 33 덕산빌딩 103호 르뺑블랑,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
모스 베이커리 카페,"카페,디저트",서울 강서구 양천로 424 데시앙플렉스 지식산업센터 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,대화하기 좋아요,매장이 청결해요
스타벅스 마곡나루공원점,카페,서울 강서구 마곡중앙5로 47 (마곡동),커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,디저트가 맛있어요
플래브베이커리,베이커리,서울 강서구 강서로15길 26 1층,빵이 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
스타벅스 김포공항DT점,카페,서울 강서구 개화동로 517 (방화동),커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,디저트가 맛있어요
스타벅스 화곡DT점,카페,서울 강서구 등촌로 57 (화곡동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
브라운씨 1호점,카페,서울 강서구 강서로47가길 20-10 1층 브라운씨,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,대화하기 좋아요
조선제일빵,베이커리,서울 강서구 초록마을로2길 48 1층 조선제일빵,빵이 맛있어요,친절해요,가성비가 좋아요,특별한 메뉴가 있어요,매장이 청결해요
올라라,베이커리,서울 강서구 마곡중앙2로 15 104호,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,디저트가 맛있어요
모먼트 인,"카페,디저트",서울 강서구 화곡로64길 97 1층 101호,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
