서대문자연사박물관,박물관,서울 서대문구 연희로32길 51,유익해요,전시 구성이 알차요,아이와 가기 좋아요,전시 테마가 재밌어요,설명이 잘 되어있어요
스타벅스 신촌점,카페,서울 서대문구 연세로 10-1 (창천동),커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,집중하기 좋아요
사일런트 플로우,"카페,디저트",서울 서대문구 통일로37길 46 1층,커피가 맛있어요,매장이 청결해요,인테리어가 멋져요,친절해요,디저트가 맛있어요
-,-,-,-,-,-,-,-
스타벅스 홍제역점,카페,서울 서대문구 통일로 451 (홍제동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
블랙번즈,"카페,디저트",서울 서대문구 연세로7안길 42 2층 블랙번즈,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요
미스터리 유니온,독립서점,서울 서대문구 이화여대길 88-11,독특한 책이 많아요,책 종류가 다양해요,원하는 책을 찾기 쉬워요,시설이 깔끔해요,베스트셀러가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
아워온즈,"카페,디저트",서울 서대문구 연희맛로 45,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요
-,-,-,-,-,-,-,-
스타벅스 신촌역점,카페,서울 서대문구 신촌로 73 (창천동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
-,-,-,-,-,-,-,-
하이드미플리즈 홍제,카페,서울 서대문구 통일로39나길 5,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
로덴드론 연희 1호점,카페,서울 서대문구 연희로25길 82,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,대화하기 좋아요
커피볶는김여사본점,"카페,디저트",서울 서대문구 세검정로1길 107,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요
스타벅스 가재울뉴타운점,카페,"서울 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이2단지별동상가1층)",커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
