전쟁기념사업회 전쟁기념관,박물관,서울 용산구 이태원로 29,유익해요,주차하기 편해요,전시 구성이 알차요,설명이 잘 되어있어요,공간이 넓어요
미니마이즈,"카페,디저트",서울 용산구 녹사평대로32길 21 2층,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요,매장이 청결해요
아워온즈 용산아이파크몰점,베이커리,서울 용산구 한강대로23길 55 6층,커피가 맛있어요,빵이 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요
-,-,-,-,-,-,-,-
오잇,"카페,디저트",서울 용산구 신흥로 95,커피가 맛있어요,디저트가 맛있어요,뷰가 좋아요,인테리어가 멋져요,음료가 맛있어요
말라카이트,아이스크림,서울 용산구 원효로97길 13 1층 말라카이트 젤라또샵,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
-,-,-,-,-,-,-,-
카페드앙팡 남영점,"키즈카페,실내놀이터",서울 용산구 한강대로77길 15 4층,가격이 합리적이에요,친절해요,놀거리가 많아요,부모도 쉬기 좋아요,매장이 청결해요
용산용문시장,시장,서울 용산구 효창원로42길 38-14,친절해요,볼거리가 많아요,야시장이 잘 되어있어요,종류가 다양해요,가성비가 좋아요
한남작업실,"카페,디저트",서울 용산구 이태원로55나길 7 1층 한남작업실,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요,디저트가 맛있어요
-,-,-,-,-,-,-,-
테디뵈르하우스 용산점,"카페,디저트",서울 용산구 한강대로40가길 42 1층,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,사진이 잘 나와요
어반클리프,브런치카페,서울 용산구 신흥로20길 43 1층,인테리어가 멋져요,음식이 맛있어요,뷰가 좋아요,친절해요,대화하기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
키에리,케이크전문,서울 용산구 이태원로26길 16-8,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
