-,-,-,-,-,-,-,-
배스킨라빈스 미아삼거리점,아이스크림,서울 강북구 도봉로10길 30,디저트가 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,음료가 맛있어요
아이스걸크림보이 수유점,아이스크림,서울 강북구 한천로139가길 21 1층,친절해요,종류가 다양해요,특별한 메뉴가 있어요,재료가 신선해요,매장이 청결해요
조이엘케이크앤베이킹스튜디오,케이크전문,서울 강북구 솔샘로47길 18 1층,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,선물하기 좋아요,주문제작을 잘해줘요
엔제리너스 미아삼거리역점,카페,서울 강북구 도봉로10나길 4,커피가 맛있어요,음료가 맛있어요,좌석이 편해요,친절해요,디저트가 맛있어요
경스커피,카페,서울 강북구 한천로131길 23 1층,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,가성비가 좋아요,친절해요
132HAUS,"카페,디저트",서울 강북구 도봉로101길 17 2층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,사진이 잘 나와요
쮸뗌므디저트,"카페,디저트",서울 강북구 삼양로54길 6 103호,디저트가 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,커피가 맛있어요
공차 수유역점,차,서울 강북구 도봉로87길 7 1층,음료가 맛있어요,차가 맛있어요,친절해요,매장이 청결해요,대화하기 좋아요
배스킨라빈스 수유역점,아이스크림,서울 강북구 도봉로 328,디저트가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,특별한 메뉴가 있어요
요거트월드 수유점,"카페,디저트",서울 강북구 오패산로 395 1층,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
공차 미아사거리점,차,서울 강북구 도봉로 52 Y SQUARE 1층,음료가 맛있어요,차가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
크리스피크림도넛 롯데백화점 미아점,도넛,서울 강북구 도봉로 62 롯데백화점미아점 B2,디저트가 맛있어요,친절해요,커피가 맛있어요,매장이 청결해요,특별한 메뉴가 있어요
북한산라운지,카페,서울 강북구 삼양로173길 220 북한산라운지,커피가 맛있어요,뷰가 좋아요,친절해요,인테리어가 멋져요,사진이 잘 나와요
와이낫,"카페,디저트",서울 강북구 수유로 59-1 1층 와이낫,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요
