-,-,-,-,-,-,-,-
오르다빛,"카페,디저트",서울 동대문구 답십리로69길 71 1층,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
커피빈 외대앞점,카페,서울 동대문구 이문로 106,커피가 맛있어요,음료가 맛있어요,집중하기 좋아요,친절해요,디저트가 맛있어요
베이크하우스,베이커리,서울 동대문구 전농로 11 1층,빵이 맛있어요,친절해요,가성비가 좋아요,특별한 메뉴가 있어요,매장이 청결해요
투썸플레이스 장안동사거리점,카페,서울 동대문구 답십리로 273,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
로카보어테이블 롯데백화점 청량리점,브런치카페,서울 동대문구 왕산로 214 롯데백화점 청량리점 1층,빵이 맛있어요,커피가 맛있어요,매장이 청결해요,특별한 메뉴가 있어요,음료가 맛있어요
크리스피크림도넛 롯데백화점청량리점,도넛,서울 동대문구 왕산로 214 백화점 지하2층,디저트가 맛있어요,친절해요,커피가 맛있어요,매장이 청결해요,특별한 메뉴가 있어요
런치백,"카페,디저트",서울 동대문구 왕산로9길 25 1층,친절해요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요
샤갈의 마을,"카페,디저트",서울 동대문구 이문로 7 B102 샤갈의마을,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,대화하기 좋아요,매장이 청결해요
-,-,-,-,-,-,-,-
컴투레스트,"카페,디저트",서울 동대문구 회기로 161-11 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
헤이림,"카페,디저트",서울 동대문구 고산자로 391 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
미밀케이크,케이크전문,서울 동대문구 신이문로 10 2층,디저트가 맛있어요,특별한 메뉴가 있어요,선물하기 좋아요,친절해요,가성비가 좋아요
나이스카페인클럽 답십리역점,"카페,디저트",서울 동대문구 천호대로 301 1층 110호,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요
투썸플레이스 제기동역점,카페,서울 동대문구 왕산로 91 1층,커피가 맛있어요,디저트가 맛있어요,매장이 청결해요,친절해요,음료가 맛있어요
